no_invoice,tanggal,bulan,tahun,kategori,sub_kategori,kuantitas_terjual,harga_per_unit,total_sales
YM22-0112222,22-09-2022,September,2022,Oli,MOTUL SCOOTER POWER LE,9,134000,1206000
YM22-0112226,22-09-2022,September,2022,Ban,FDR TR TL 100/80-14,2,300000,600000
YM22-0112226,22-09-2022,September,2022,Ban,BL AHM 70/90-17 KWW,15,158500,2377500
YM22-0112226,22-09-2022,September,2022,Radiator,Radiator YMMT Vario 125,5,119500,597500
YM22-0112234,23-09-2022,September,2022,Sensor,Injektor Vario 150 YMMT,1,127000,127000
YM22-0112241,23-09-2022,September,2022,Gear Rantai,Gear seat AHM KEV Supra,1,203000,203000
YM22-0112241,23-09-2022,September,2022,Sakelar,Sakelar Lampu,1,10000,10000
YM22-0112244,23-09-2022,September,2022,Oli,Yamalube Super Matic 1 L,15,64000,960000
YM22-0112244,23-09-2022,September,2022,Oli,Motul GP MTC 4T,14,66000,924000
YM22-0112244,23-09-2022,September,2022,Sakelar,Sakelar Klakson,21,8000,168000
YM22-0112244,23-09-2022,September,2022,Oli,MPX 2 0.8L,26,51500,1339000
YM22-0112244,23-09-2022,September,2022,Lampu,Indo Part Lampu dop rem,8,8500,68000
YM22-0112249,23-09-2022,September,2022,Oli,MOTUL SCOOTER LE 1 LTR,1,73500,73500
YM22-0112249,23-09-2022,September,2022,Piringan Cakram,Piringan DPN AHM Scoopy New,2,69000,138000
YM22-0112249,23-09-2022,September,2022,V-Belt,V belt kit AHM KZR VARIO 125,1,173000,173000
YM22-0112249,23-09-2022,September,2022,Busi,BUSI YGP U22FSU,1,14500,14500
YM22-0112256,23-09-2022,September,2022,Busi,BUSI YGP U22FSU,1,14500,14500
YM22-0112263,23-09-2022,September,2022,Kaca Spion,Spion Beat FI,5,52500,262500
YM22-0112264,23-09-2022,September,2022,Dinamo,Dinamo ST indo KPH,1,171000,171000
YM22-0112271,23-09-2022,September,2022,Seal,Seal Crankshaf,2,10000,20000
YM22-0112271,23-09-2022,September,2022,Kaca Spion,Spion Beat FI,2,50500,101000
YM22-0112277,23-09-2022,September,2022,Busi,BUSI AHM U22FER9,1,29000,29000
YM22-0112278,23-09-2022,September,2022,Ban,FDR TR TL Flemino 90/90-14,1,236500,236500
YM22-0112278,23-09-2022,September,2022,Rumah Roller,AHM GMF Beat,1,74000,74000
YM22-0112278,23-09-2022,September,2022,Oli,MPX 1 0.8L,1,50500,50500
YM22-0112286,23-09-2022,September,2022,Bearing,BRG AHM SET 6304 RS,2,58500,117000
YM22-0112286,23-09-2022,September,2022,Seal,Seal Pulau,2,7500,15000
YM22-0112286,23-09-2022,September,2022,Shockbreaker,Shock AHM K25 Beat FI,1,210500,210500
YM22-0112288,23-09-2022,September,2022,Roller,BRT Mio,1,72000,72000
YM22-0112288,23-09-2022,September,2022,V-Belt,V Belt Only YGP 2DP NMX,1,125500,125500
YM22-0112288,23-09-2022,September,2022,Kaca Spion,Spion Beat FI,1,51500,51500
YM22-0112289,23-09-2022,September,2022,Aki,Aki Kering GS ASTRA GTZ7V,1,322000,322000
YM22-0112289,23-09-2022,September,2022,Shockbreaker,Shock AHM K25 Beat FI,1,207500,207500
YM22-0112289,23-09-2022,September,2022,Sakelar,Sakelar Indling stop,2,12500,25000
YM22-0112289,23-09-2022,September,2022,Busi,BUSI AHM U22FER9,1,29500,29500
YM22-0112291,25-09-2022,September,2022,Oli,Evalube Matic 0.8 L,18,42000,756000
YM22-0112291,25-09-2022,September,2022,Kampas Kopling,KPL Ganda ONLY POLINI,7,281000,1967000
YM22-0112291,25-09-2022,September,2022,Oli,MPX 1 0.8L,11,50500,555500
YM22-0112291,25-09-2022,September,2022,Bearing,BRG AHM SET 6302 RS,11,53500,588500
YM22-0112291,25-09-2022,September,2022,Seal,Seal Crankshaf,23,10000,230000
YM22-0112294,25-09-2022,September,2022,Sensor,Injektor Vario 150 YMMT,9,128000,1152000
YM22-0112301,25-09-2022,September,2022,Busi,BUSI NGK BP7ES,1,174000,174000
YM22-0112301,25-09-2022,September,2022,Sakelar,Sakelar Klakson,2,8000,16000
YM22-0112309,25-09-2022,September,2022,Bearing,BRG AHM SET 6303 RS,2,57500,115000
YM22-0112309,25-09-2022,September,2022,Dinamo,Dinamo YGP Nmx old,1,210000,210000
YM22-0112310,25-09-2022,September,2022,Bearing,BRG AHM SET 6202 RS,2,46500,93000
YM22-0112310,25-09-2022,September,2022,Seal,Seal Water Pump,1,15000,15000
YM22-0112312,25-09-2022,September,2022,Lampu,Indo Part Lampu dop rem,1,8000,8000
YM22-0112315,25-09-2022,September,2022,Hendel Rem,Hendel Rem RCB kw,2,103000,206000
YM22-0112315,25-09-2022,September,2022,Radiator,Radiator MLKUNL VARIO,1,203500,203500
YM22-0112315,25-09-2022,September,2022,Oli,MOTUL SCOOTER LE 1 LTR,1,75500,75500
YM22-0112316,25-09-2022,September,2022,Kaca Spion,Spion Indo KVY Beat,10,36500,365000
YM22-0112316,25-09-2022,September,2022,Oli,Evalube 2T PRO 0.7,6,30500,183000
YM22-0112316,25-09-2022,September,2022,Kampas Kopling,KPL Ganda ONLY AHM KVB VARIO,6,160500,963000
YM22-0112322,25-09-2022,September,2022,Sakelar,Sakelar Indling stop,2,12500,25000
YM22-0112324,25-09-2022,September,2022,Bearing,BRG AHM SET 6302 RS,22,55000,1210000
YM22-0112324,25-09-2022,September,2022,Oli,Castrol Pro 2T,27,35500,958500
YM22-0112324,25-09-2022,September,2022,V-Belt,V Belt set AHM K35,17,176500,3000500
YM22-0112324,25-09-2022,September,2022,Radiator,Radiator MLKUNL VARIO,17,210000,3570000
YM22-0112329,25-09-2022,September,2022,Oli,MOTUL SCOOTER LE 1 LTR,7,75000,525000
YM22-0112337,25-09-2022,September,2022,Bearing,BRG AHM SET 6301 RS,13,51000,663000
YM22-0112337,25-09-2022,September,2022,V-Belt,V Belt set AHM KWN,18,156500,2817000
YM22-0112337,25-09-2022,September,2022,Oli,Mesran Super 4T 0.8 L,35,35500,1242500
YM22-0112340,26-09-2022,September,2022,Busi,BUSI NGK BP7ES,1,172500,172500
YM22-0112340,26-09-2022,September,2022,Seal,Seal Kopling,2,5000,10000
YM22-0112346,26-09-2022,September,2022,V-Belt,V Belt set AHM KWN,18,158500,2853000
YM22-0112346,26-09-2022,September,2022,Kampas Kopling,KPL Ganda ONLY BRT,7,207000,1449000
YM22-0112354,26-09-2022,September,2022,Oli,Grand Manual 0.8 L,16,38500,616000
YM22-0112362,26-09-2022,September,2022,Lampu,Indo Part Lampu dop rem,1,8500,8500
YM22-0112362,26-09-2022,September,2022,Seal,Seal Crankshaf,1,10000,10000
YM22-0112362,26-09-2022,September,2022,Busi,BUSI NGK BP7ES,1,175000,175000
YM22-0112367,26-09-2022,September,2022,Filter Udara,Filter Udara YGP,1,73000,73000
YM22-0112372,26-09-2022,September,2022,V-Belt,V Belt kit AHM K16,12,153000,1836000
YM22-0112372,26-09-2022,September,2022,Oli,Grand Manual 0.8 L,12,39500,474000
YM22-0112372,26-09-2022,September,2022,Oli,MOTUL MOTO 4 T,11,49000,539000
YM22-0112372,26-09-2022,September,2022,Seal,Seal Water Pump,6,15000,90000
YM22-0112372,26-09-2022,September,2022,Oli,Evalube 2T 0.7,34,24500,833000
YM22-0112378,26-09-2022,September,2022,Lampu,Indo Part Lampu dop rem,1,8000,8000
YM22-0112378,26-09-2022,September,2022,Oli,Evalube 2T PRO 0.7,1,30500,30500
YM22-0112378,26-09-2022,September,2022,Rumah Roller,AHM KVB Vario,1,88000,88000
YM22-0112379,26-09-2022,September,2022,Dinamo,Dinamo AHM KVB Vario,1,191500,191500
YM22-0112379,26-09-2022,September,2022,Sakelar,Sakelar Klakson,1,8000,8000
YM22-0112386,26-09-2022,September,2022,Lampu,SGP Lampu Kepala depan,1,26000,26000
YM22-0112386,26-09-2022,September,2022,Roller,BRT NMX,1,80000,80000
YM22-0112394,26-09-2022,September,2022,Oli,MOTUL SCOOTER POWER LE,11,135000,1485000
YM22-0112394,26-09-2022,September,2022,Oli,MOTUL SCOOTER LE 1 LTR,14,75500,1057000
YM22-0112394,26-09-2022,September,2022,V-Belt,V Belt set AHM KVB,18,153000,2754000
YM22-0112394,26-09-2022,September,2022,Oli,Motul GP MTC 4T,5,67000,335000
YM22-0112394,26-09-2022,September,2022,Roller,Kawahara Nmx,11,66000,726000
YM22-0112394,26-09-2022,September,2022,Ban,BL Maxxis 90/80-14 VICTRA,3,294000,882000
YM22-0112396,26-09-2022,September,2022,Gasket,Gasket full seat AHM Supra Fit,5,69500,347500
YM22-0112396,26-09-2022,September,2022,Sakelar,Sakelar Retting,12,15500,186000
YM22-0112396,26-09-2022,September,2022,Oli,Motul SC EXP LE 4T,24,107000,2568000
YM22-0112396,26-09-2022,September,2022,Bearing,BRG AHM SET 6301 RS,24,52500,1260000
YM22-0112396,26-09-2022,September,2022,Shockbreaker,Shock AHM K25 Beat FI,6,209000,1254000
YM22-0112396,26-09-2022,September,2022,Bearing,BRG AHM SET 6304 RS,22,58000,1276000
YM22-0112396,26-09-2022,September,2022,V-Belt,V Belt set AHM K35,13,178000,2314000
YM22-0112403,26-09-2022,September,2022,V-Belt,V belt Only YGP B65 AEROX/NMX NEW,1,123000,123000
YM22-0112410,26-09-2022,September,2022,Oli,MOTUL SCOOTER LE 1 LTR,1,76000,76000
YM22-0112410,26-09-2022,September,2022,Hendel Rem,Hendel Rem Ori AHM,2,154500,309000
YM22-0112413,26-09-2022,September,2022,Gasket,Gasket full seat AHM Scoopy,1,57500,57500
YM22-0112413,26-09-2022,September,2022,Kampas Rem,DPAD AHM KVBT01 VARIO,1,51500,51500
YM22-0112418,26-09-2022,September,2022,Gear Rantai,Gear Seat Asp Grand,1,156000,156000
YM22-0112418,26-09-2022,September,2022,Seal,Seal Pulau,1,7500,7500
YM22-0112418,26-09-2022,September,2022,Oli,Motul SC EXP LE 4T,1,107000,107000
YM22-0112418,26-09-2022,September,2022,Filter Udara,Filter Udara Suzuki,1,52000,52000
YM22-0112425,26-09-2022,September,2022,Roller,Kawahara Nmx,1,67000,67000
YM22-0112431,27-09-2022,September,2022,Bearing,BRG AHM SET 6303 RS,1,56500,56500
YM22-0112431,27-09-2022,September,2022,Sakelar,Sakelar Retting,1,15500,15500
YM22-0112431,27-09-2022,September,2022,Oli,MPX 1 0.8L,1,51500,51500
YM22-0112437,27-09-2022,September,2022,Kaca Spion,Spion Vario WIN,2,46000,92000
YM22-0112437,27-09-2022,September,2022,Rumah Roller,AHM K44 Scoopy,1,99000,99000
YM22-0112437,27-09-2022,September,2022,Bearing,BRG AHM SET 6201 RS,1,45500,45500
YM22-0112444,27-09-2022,September,2022,Bearing,BRG AHM SET 6201 RS,1,46000,46000
YM22-0112444,27-09-2022,September,2022,Kampas Kopling,KPL Ganda ONLY MALOSSI,1,254000,254000
YM22-0112446,27-09-2022,September,2022,Roller,BRT VARIO 110,1,74000,74000
YM22-0112449,27-09-2022,September,2022,Kampas Kopling,KPL Ganda ONLY POLINI,1,288500,288500
YM22-0112449,27-09-2022,September,2022,Kampas Rem,DPAD AHM KVBT01 VARIO,2,52000,104000
YM22-0112450,27-09-2022,September,2022,Roller,BRT NMX,1,80000,80000
YM22-0112450,27-09-2022,September,2022,Piringan Cakram,Piringan DPN KC/YMMT NMX,2,103000,206000
YM22-0112450,27-09-2022,September,2022,Gasket,Gasket Cylinder head Nmx,2,32000,64000
YM22-0112452,27-09-2022,September,2022,Seal,Seal Pulau,23,7000,161000
YM22-0112452,27-09-2022,September,2022,Velg,Velg Enkei,10,1580500,15805000
YM22-0112452,27-09-2022,September,2022,V-Belt,V Belt set AHM KVB,6,148500,891000
YM22-0112452,27-09-2022,September,2022,Oli,Mesran Super 4T 0.8 L,39,35000,1365000
YM22-0112452,27-09-2022,September,2022,Kampas Rem,Kampas Depan Supra X,22,51500,1133000
YM22-0112452,27-09-2022,September,2022,Kampas Rem,Kampas Belakang Supra,19,40500,769500
YM22-0112452,27-09-2022,September,2022,V-Belt,V Belt kit AHM K16,12,152000,1824000
YM22-0112452,27-09-2022,September,2022,Oli,MPX 2 0.8L,13,51500,669500
YM22-0112452,27-09-2022,September,2022,Sakelar,Sakelar Klakson,37,8000,296000
YM22-0112455,27-09-2022,September,2022,Seal,Seal Pulau,32,7000,224000
YM22-0112455,27-09-2022,September,2022,Busi,BUSI AHM U22FER9,20,29000,580000
YM22-0112455,27-09-2022,September,2022,Filter Udara,Filter Udara BRT,19,73500,1396500
YM22-0112455,27-09-2022,September,2022,Piringan Cakram,Piringan DPN KC/YMMT NMX,17,100500,1708500
YM22-0112455,27-09-2022,September,2022,Bearing,BRG AHM SET 6204 RS,26,52000,1352000
YM22-0112455,27-09-2022,September,2022,Aki,Aki Kering AHM GTZ6V,7,287500,2012500
YM22-0112457,28-09-2022,September,2022,Seal,Seal Crankshaf,1,10000,10000
YM22-0112457,28-09-2022,September,2022,Ban,FDR TR TL 100/80-14,2,296500,593000
YM22-0112458,28-09-2022,September,2022,Kaca Spion,Spion Indo KVY Beat,1,36500,36500
YM22-0112458,28-09-2022,September,2022,Shockbreaker,Shock AHM K25 Beat FI,2,203000,406000
YM22-0112462,28-09-2022,September,2022,Bearing,BRG AHM SET 6302 RS,2,54000,108000
YM22-0112462,28-09-2022,September,2022,Sakelar,Sakelar Klakson,2,8500,17000
YM22-0112469,28-09-2022,September,2022,Oli,Evalube 2T PRO 0.7,40,30500,1220000
YM22-0112469,28-09-2022,September,2022,Lampu,SGP Lampu Kepala depan,35,26000,910000
YM22-0112476,28-09-2022,September,2022,Piringan Cakram,Piringan DPN AHM Vario,2,56500,113000
YM22-0112476,28-09-2022,September,2022,Aki,Aki Basah Yuasa YB5L-B,1,262000,262000
YM22-0112476,28-09-2022,September,2022,Busi,BUSI YGP U22FSU,1,15500,15500
YM22-0112476,28-09-2022,September,2022,Hendel Rem,Hendel Rem Ori AHM,2,153000,306000
YM22-0112481,28-09-2022,September,2022,Busi,BUSI AHM U22FER9,1,29000,29000
YM22-0112481,28-09-2022,September,2022,Ban,BL AHM 70/90-17 KWW,2,160000,320000
YM22-0112481,28-09-2022,September,2022,Sakelar,Sakelar Indling stop,1,12000,12000
YM22-0112482,28-09-2022,September,2022,Lampu,AHM Lampu Kepala,1,31000,31000
YM22-0112485,28-09-2022,September,2022,Filter Udara,Filter Udara BRT,1,73000,73000
YM22-0112487,28-09-2022,September,2022,Busi,BUSI AHM U22FER9,1,28500,28500
YM22-0112487,28-09-2022,September,2022,Hendel Rem,Hendel Rem No Name,1,207500,207500
YM22-0112487,28-09-2022,September,2022,Oli,Evalube 2T 0.7,1,24500,24500
YM22-0112490,28-09-2022,September,2022,Oli,Evalube Matic 0.8 L,39,41500,1618500
YM22-0112490,28-09-2022,September,2022,Piringan Cakram,Piringan DPN KC/YMMT NMX,14,103000,1442000
YM22-0112493,28-09-2022,September,2022,Kampas Kopling,KPL Ganda ONLY POLINI,1,284500,284500
YM22-0112493,28-09-2022,September,2022,Bearing,BRG AHM SET 6301 RS,1,53000,53000
YM22-0112496,28-09-2022,September,2022,V-Belt,V Belt set AHM K35,1,179000,179000
YM22-0112496,28-09-2022,September,2022,Seal,Seal Water Pump,2,15500,31000
YM22-0112496,28-09-2022,September,2022,Kampas Kopling,KPL Ganda ONLY MALOSSI,1,259500,259500
YM22-0112496,28-09-2022,September,2022,Oli,MPX 1 0.8L,1,51000,51000
YM22-0112504,28-09-2022,September,2022,Sakelar,Sakelar Indling stop,2,12000,24000
YM22-0112504,28-09-2022,September,2022,Busi,BUSI AHM U22FER9,1,28500,28500
YM22-0112504,28-09-2022,September,2022,Gasket,Gasket full seat AHM Supra Fit,2,69500,139000
YM22-0112506,28-09-2022,September,2022,Kampas Rem,DPAD BLK SUPRA,2,48500,97000
YM22-0112511,28-09-2022,September,2022,V-Belt,V Belt set AHM KVB,1,152500,152500
YM22-0112514,28-09-2022,September,2022,Gasket,Gasket Cylinder Nmx,31,13000,403000
YM22-0112514,28-09-2022,September,2022,Ban,FDR TR TL 80/80-17 Sport Evo,8,249500,1996000
YM22-0112514,28-09-2022,September,2022,Kampas Rem,DPAD YGP 2BM,6,68000,408000
YM22-0112514,28-09-2022,September,2022,Ban,FDR TR TL 100/80-14,4,305000,1220000
YM22-0112514,28-09-2022,September,2022,Oli,Evalube 2T PRO 0.7,30,31000,930000
YM22-0112514,28-09-2022,September,2022,Seal,Seal Water Pump,35,15000,525000
YM22-0112514,28-09-2022,September,2022,Kampas Rem,DPAD BLK SUPRA,21,47500,997500
YM22-0112517,29-09-2022,September,2022,Filter Udara,Filter Udara YGP,1,73500,73500
YM22-0112519,29-09-2022,September,2022,Bearing,BRG AHM SET 6304 RS,7,59000,413000
YM22-0112526,29-09-2022,September,2022,Oli,MOTUL SCOOTER GEAR,5,15500,77500
YM22-0112526,29-09-2022,September,2022,Hendel Rem,Hendel Rem KTC,14,913000,12782000
YM22-0112526,29-09-2022,September,2022,Oli,Motul GP MTC 4T,9,67500,607500
YM22-0112526,29-09-2022,September,2022,Oli,MPX 1 0.8L,31,49500,1534500
YM22-0112526,29-09-2022,September,2022,Seal,Seal Pulau,11,7500,82500
YM22-0112526,29-09-2022,September,2022,Ban,FDR TR TL 80/80-17 Sport Evo,5,248500,1242500
YM22-0112531,29-09-2022,September,2022,Oli,Evalube Matic 0.8 L,1,40500,40500
YM22-0112531,29-09-2022,September,2022,Ban,BL AHM 80/90-17 KWW,1,193500,193500
YM22-0112537,29-09-2022,September,2022,Busi,BUSI NGK BP7ES,1,176500,176500
YM22-0112540,29-09-2022,September,2022,Oli,Castrol Pro 2T,1,35500,35500
YM22-0112540,29-09-2022,September,2022,Filter Udara,Filter Udara AHM,1,63500,63500
YM22-0112541,29-09-2022,September,2022,Oli,MOTUL MOTO 4 T,15,48500,727500
YM22-0112541,29-09-2022,September,2022,Oli,MOTUL SCOOTER POWER LE,15,130500,1957500
YM22-0112541,29-09-2022,September,2022,Ban,FDR TR TL 100/80-14,8,303500,2428000
YM22-0112541,29-09-2022,September,2022,Shockbreaker,Shock AHM K25 Beat FI,11,206500,2271500
YM22-0112541,29-09-2022,September,2022,Sakelar,Sakelar Indling stop,15,12000,180000
YM22-0112541,29-09-2022,September,2022,Busi,BUSI YGP U22FSU,7,15000,105000
YM22-0112541,29-09-2022,September,2022,Oli,Yamalube Super Matic 1 L,5,63500,317500
YM22-0112546,29-09-2022,September,2022,Oli,Mesran 40 1 LTR,1,42000,42000
YM22-0112546,29-09-2022,September,2022,Seal,Seal Pulau,1,7000,7000
YM22-0112549,29-09-2022,September,2022,V-Belt,V Belt set AHM KVB,16,151000,2416000
YM22-0112554,29-09-2022,September,2022,Kampas Rem,Kampas Depan Supra X,2,51000,102000
YM22-0112554,29-09-2022,September,2022,Seal,Seal Water Pump,2,15500,31000
YM22-0112554,29-09-2022,September,2022,Lampu,AHM Lampu Kepala,1,31500,31500
YM22-0112555,29-09-2022,September,2022,Bearing,BRG AHM SET 6204 RS,5,53000,265000
YM22-0112555,29-09-2022,September,2022,Oli,MOTUL MOTO 4 T,21,49000,1029000
YM22-0112555,29-09-2022,September,2022,Oli,MOTUL SCOOTER POWER LE,9,133500,1201500
YM22-0112555,29-09-2022,September,2022,Sakelar,Sakelar Klakson,27,8000,216000
YM22-0112555,29-09-2022,September,2022,Busi,BUSI YGP U22FSU,9,15500,139500
YM22-0112555,29-09-2022,September,2022,Bearing,BRG AHM SET 6202 RS,8,46500,372000
YM22-0112555,29-09-2022,September,2022,Kaca Spion,Spion Indo KVY Beat,7,37000,259000
YM22-0112555,29-09-2022,September,2022,Hendel Rem,Hendel Rem Ori AHM,8,155500,1244000
YM22-0112555,29-09-2022,September,2022,Piringan Cakram,Piringan BLK KC/UTH NMX,16,100500,1608000
YM22-0112555,29-09-2022,September,2022,Sakelar,Sakelar Retting,14,15000,210000
YM22-0112558,29-09-2022,September,2022,Oli,Mesran Super 4T 0.8 L,13,34500,448500
YM22-0112558,29-09-2022,September,2022,Bearing,BRG AHM SET 6304 RS,26,59500,1547000
YM22-0112558,29-09-2022,September,2022,Oli,MOTUL SCOOTER POWER LE,7,133000,931000
YM22-0112558,29-09-2022,September,2022,Oli,Grand Manual 0.8 L,25,39000,975000
YM22-0112559,29-09-2022,September,2022,Gear Rantai,Gear seat AHM KEV Supra,16,203000,3248000
YM22-0112559,29-09-2022,September,2022,Kampas Rem,Kampas Depan Supra X,25,52000,1300000
YM22-0112559,29-09-2022,September,2022,Sakelar,Sakelar Retting,12,15500,186000
YM22-0112559,29-09-2022,September,2022,V-Belt,V Belt set AHM KWN,15,157500,2362500
YM22-0112559,29-09-2022,September,2022,Filter Udara,Filter Udara Suzuki,14,52000,728000
YM22-0112565,29-09-2022,September,2022,Oli,MOTUL SCOOTER LE 1 LTR,1,74500,74500
YM22-0112565,29-09-2022,September,2022,Gear Rantai,Gear Seat Asp Grand,1,155500,155500
YM22-0112565,29-09-2022,September,2022,Sakelar,Sakelar Lampu,1,10000,10000
YM22-0112565,29-09-2022,September,2022,Kaca Spion,Spion Vario WIN,1,46000,46000
YM22-0112570,29-09-2022,September,2022,V-Belt,V Belt set AHM K35,1,176500,176500
YM22-0112578,29-09-2022,September,2022,Oli,Evalube 2T 0.7,1,24500,24500
YM22-0112580,30-09-2022,September,2022,Ban,BL Maxxis 120/70-12 VICTRA,1,411000,411000
YM22-0112582,30-09-2022,September,2022,Seal,Seal oring,39,8000,312000
YM22-0112582,30-09-2022,September,2022,Filter Udara,Filter Udara BRT,21,73000,1533000
YM22-0112582,30-09-2022,September,2022,Rumah Roller,AHM KOJ Scoopy New,15,77000,1155000
YM22-0112582,30-09-2022,September,2022,Lampu,SGP Lampu Kepala depan,8,25500,204000
YM22-0112582,30-09-2022,September,2022,Kampas Rem,DPAD YGP 3C1 NMX,19,57000,1083000
YM22-0112584,30-09-2022,September,2022,Roller,BRT NMX,1,79000,79000
YM22-0112584,30-09-2022,September,2022,Kampas Rem,Kampas Depan Supra X,1,52500,52500
YM22-0112591,30-09-2022,September,2022,Bearing,BRG AHM SET 6304 RS,1,58000,58000
YM22-0112591,30-09-2022,September,2022,Oli,Motul GP MTC 4T,1,65500,65500
YM22-0112592,30-09-2022,September,2022,Busi,BUSI NGK BP7ES,1,173000,173000
YM22-0112596,30-09-2022,September,2022,Sakelar,Sakelar Klakson,2,8500,17000
YM22-0112596,30-09-2022,September,2022,Seal,Seal Pulau,2,7000,14000
YM22-0112597,30-09-2022,September,2022,Sakelar,Sakelar Klakson,1,8000,8000
YM22-0112597,30-09-2022,September,2022,Oli,MPX 1 0.8L,1,49500,49500
YM22-0112604,30-09-2022,September,2022,Seal,Seal Pulau,1,7500,7500
YM22-0112604,30-09-2022,September,2022,Gasket,Gasket full seat AHM Scoopy,1,57000,57000
YM22-0112604,30-09-2022,September,2022,Lampu,SGP Lampu Kepala depan,1,26500,26500
YM22-0112610,30-09-2022,September,2022,Oli,MOTUL SCOOTER GEAR,1,15500,15500
YM22-0112610,30-09-2022,September,2022,Ban,FDR TR TL 80/90-14 Sport XR Evo,1,208000,208000
YM22-0112612,30-09-2022,September,2022,Rumah Roller,AHM GMF Beat,17,72500,1232500
YM22-0112612,30-09-2022,September,2022,Oli,Evalube 2T PRO 0.7,31,31000,961000
YM22-0112612,30-09-2022,September,2022,Filter Udara,Filter Udara AHM,32,62500,2000000
YM22-0112616,30-09-2022,September,2022,Kampas Rem,DPAD YGP 2BM,2,66000,132000
YM22-0112616,30-09-2022,September,2022,Roller,BRT VARIO 110,1,73500,73500
YM22-0112616,30-09-2022,September,2022,V-Belt,V Belt set AHM K35,1,178000,178000
YM22-0112617,30-09-2022,September,2022,Oli,Evalube 2T PRO 0.7,7,31000,217000
YM22-0112617,30-09-2022,September,2022,Bearing,BRG AHM SET 6203 RS,34,48500,1649000
YM22-0112617,30-09-2022,September,2022,Gasket,Gasket Cylinder Nmx,12,13500,162000
YM22-0112617,30-09-2022,September,2022,Filter Udara,Filter Udara BRT,6,72000,432000
YM22-0112617,30-09-2022,September,2022,Ban,FDR TR TL 140/70-13 Blaze Mp,3,479500,1438500
YM22-0112617,30-09-2022,September,2022,Ban,BL Maxxis 80/90-14 VICTRA,6,246000,1476000
YM22-0112624,30-09-2022,September,2022,Seal,Seal Kopling,2,5000,10000
YM22-0112624,30-09-2022,September,2022,V-Belt,V Belt set AHM KWN,1,154000,154000
YM22-0112631,30-09-2022,September,2022,Oli,Evalube Matic 0.8 L,1,40500,40500
YM22-0112631,30-09-2022,September,2022,Roller,BRT NMX,1,79000,79000
YM22-0112631,30-09-2022,September,2022,Seal,Seal Pulau,1,7500,7500
YM22-0112631,30-09-2022,September,2022,Sakelar,Sakelar Lampu,1,10000,10000
YM22-0112636,30-09-2022,September,2022,V-Belt,V Belt set AHM K35,1,175000,175000
YM22-0112636,30-09-2022,September,2022,Aki,Aki Kering YGP 3C1,1,207500,207500
YM22-0112643,30-09-2022,September,2022,Filter Udara,Filter Udara AHM,1,61500,61500
YM22-0112643,30-09-2022,September,2022,Bearing,BRG AHM SET 6201 RS,1,45500,45500
YM22-0112647,01-10-2022,Oktober,2022,Oli,Evalube 2T PRO 0.7,1,30500,30500
YM22-0112655,01-10-2022,Oktober,2022,Oli,Motul SC EXP LE 4T,1,111500,111500
YM22-0112655,01-10-2022,Oktober,2022,Aki,Aki Kering YGP 3C1,1,203500,203500
YM22-0112655,01-10-2022,Oktober,2022,Sakelar,Sakelar Indling stop,1,12000,12000
YM22-0112661,01-10-2022,Oktober,2022,Sakelar,Sakelar Retting,2,15000,30000
YM22-0112669,01-10-2022,Oktober,2022,Busi,BUSI YGP U22FSU,1,15000,15000
YM22-0112669,01-10-2022,Oktober,2022,Oli,MOTUL MOTO 4 T,1,49000,49000
YM22-0112669,01-10-2022,Oktober,2022,Lampu,Indo Part Lampu dop rem,1,8500,8500
YM22-0112672,01-10-2022,Oktober,2022,Hendel Rem,Hendel Rem KTC,1,922500,922500
YM22-0112676,01-10-2022,Oktober,2022,Oli,Mesrania 2T super 1 L,1,46000,46000
YM22-0112679,01-10-2022,Oktober,2022,Kaca Spion,Spion Beat FI,1,51500,51500
YM22-0112679,01-10-2022,Oktober,2022,Gasket,Gasket full seat AHM Supra Fit,2,67500,135000
YM22-0112687,01-10-2022,Oktober,2022,Bearing,BRG AHM SET 6203 RS,1,50500,50500
YM22-0112692,01-10-2022,Oktober,2022,Seal,Seal Kopling,38,5500,209000
YM22-0112692,01-10-2022,Oktober,2022,Filter Udara,Filter Udara Suzuki,19,53000,1007000
YM22-0112692,01-10-2022,Oktober,2022,Oli,Mesran 40 1 LTR,11,41500,456500
YM22-0112692,01-10-2022,Oktober,2022,Oli,Castrol Pro 2T,14,35000,490000
YM22-0112692,01-10-2022,Oktober,2022,Sakelar,Sakelar Klakson,6,8000,48000
YM22-0112694,01-10-2022,Oktober,2022,Oli,Mesrania 2T super 1 L,34,47000,1598000
YM22-0112694,01-10-2022,Oktober,2022,Oli,MOTUL SCOOTER POWER LE,15,135500,2032500
YM22-0112694,01-10-2022,Oktober,2022,Seal,Seal Pulau,22,7500,165000
YM22-0112694,01-10-2022,Oktober,2022,Kampas Kopling,KPL Ganda ONLY AHM KVB VARIO,17,159500,2711500
YM22-0112694,01-10-2022,Oktober,2022,Filter Udara,Filter Udara BRT,20,73000,1460000
YM22-0112700,01-10-2022,Oktober,2022,Seal,Seal Pulau,2,7000,14000
YM22-0112700,01-10-2022,Oktober,2022,Bearing,BRG AHM SET 6204 RS,1,53500,53500
YM22-0112701,01-10-2022,Oktober,2022,Busi,BUSI NGK BP7ES,1,174000,174000
YM22-0112705,02-10-2022,Oktober,2022,Seal,Seal oring,2,8500,17000
